Cpu,Price_in_euros
Intel Core i7 2.7GHz,2537.45
Intel Core i7 6500U 2.5GHz,1349.0
Intel Core i7 7820HK 2.9GHz,3890.0
Intel Core i7 7700HQ 2.8GHz,2449.0
Intel Core i7 7500U 2.7GHz,1699.0
Intel Celeron Quad Core N3160 1.6GHz,379.0
Intel Core i3 7100U 2.4GHz,949.0
Intel Core i5 6200U 2.3GHz,649.0
Intel Core i7 7600U 2.8GHz,1975.0
Intel Core i5 7200U 2.5GHz,1429.0
Intel Core i5 6200U 2.3GHz,1244.0
Intel Core i7 7700HQ 2.8GHz,1504.0
Intel Core i7 8550U 1.8GHz,1849.0
Intel Core i3 6006U 2GHz,539.0
Intel Core i7 6820HQ 2.7GHz,2249.0
Intel Core i7 7700HQ 2.8GHz,1191.0
Intel Core i7 8550U 1.8GHz,735.07
Intel Core i5 7200U 2.5GHz,891.0
Intel Core i3 7100U 2.4GHz,800.0
Intel Core i5 7200U 2.5GHz,1364.0
Intel Core i7 7600U 2.8GHz,1680.0
Intel Core i5 7200U 2.5GHz,726.0
Intel Core i3 7130U 2.7GHz,599.0
Intel Celeron Dual Core N3350 1.1GHz,292.0
Intel Core i7 8550U 1.8GHz,1159.0
Intel Core i5 7200U 2.5GHz,1472.2
Intel Celeron Dual Core N3350 1.1GHz,286.0
Intel Celeron Dual Core 3205U 1.5GHz,174.0
Intel Core i7 7500U 2.7GHz,2499.0
Intel Core i7 7700HQ 2.8GHz,1179.0
Intel Core i7 6500U 2.5GHz,812.0
Intel Pentium Quad Core N3710 1.6GHz,309.0
Intel Core i5 7200U 2.5GHz,690.0
Intel Celeron Dual Core N3050 1.6GHz,379.0
Intel Core i7 6500U 2.5GHz,638.0
Intel Core i5 7200U 2.5GHz,749.0
Intel Core i5 7200U 2.5GHz,889.0
Intel Celeron Dual Core N3350 1.1GHz,224.0
Intel Core i7 6700HQ 2.6GHz,1511.19
AMD A9-Series A9-9420 3GHz,649.0
Intel Core i7 7500U 2.7GHz,1859.0
Intel Core i7 7700HQ 2.8GHz,1949.0
AMD A6-Series A6-9220 2.5GHz,445.9
Intel Core i7 7700HQ 2.8GHz,1299.0
Intel Core i7 7500U 2.7GHz,1873.0
Intel Core i7 7500U 2.7GHz,1900.0
Intel Core i3 6006U 2.0GHz,629.0
Intel Core i7 8550U 1.8GHz,1031.0
Intel Core i7 7700HQ 2.8GHz,2499.0
Intel Core i5 8250U 1.6GHz,999.0
Intel Core i7 7700HQ 2.8GHz,1349.0
Intel Core i7 7700HQ 2.8GHz,2397.0
Intel Core i7 7700HQ 2.7GHz,2046.0
Intel Atom x5-Z8550 1.44GHz,319.0
Intel Core i5 6260U 1.8GHz,1199.0
Intel Pentium Dual Core 4405Y 1.5GHz,615.0
Intel Celeron Dual Core N3050 1.6GHz,229.0
Intel Core i5 8250U 1.6GHz,879.0
Intel Core i7 7500U 2.7GHz,2799.0
Intel Core i3 6006U 2GHz,403.5
Intel Celeron Dual Core N3350 1.1GHz,299.0
Intel Core i5 7200U 2.5GHz,565.0
Intel Core i5 7200U 2.5GHz,1009.0
Intel Core i7 7500U 2.7GHz,979.0
Intel Core i7 6500U 2.5GHz,764.0
Intel Core i5 7300HQ 2.5GHz,906.62
Intel Core i5 6200U 2.3GHz,1199.0
Intel Core i5 6200U 2.3GHz,659.0
Intel Core i7 7700HQ 2.8GHz,1899.0
Intel Core i7 6500U 2.5GHz,895.0
Intel Core i7 7Y75 1.3GHz,2013.1
Intel Core i3 6006U 2GHz,449.0
Intel Core i7 6500U 2.5GHz,629.0
Intel Core i7 7700HQ 2.8GHz,1099.0
Intel Core i7 7500U 2.7GHz,1018.99
AMD A9-Series 9420 2.9GHz,399.0
Intel Core i5 7200U 2.5GHz,612.61
AMD A10-Series A10-9620P 2.5GHz,575.0
Intel Core i7 7500U 2.7GHz,1119.0
Intel Core i5 6200U 2.3GHz,1180.0
Intel Core i5 6300HQ 2.3GHz,1399.0
Intel Core i3 6100U 2.3GHz,795.99
Intel Core i7 7700HQ 2.8GHz,3147.37
Intel Celeron Dual Core 3855U 1.6GHz,459.9
Intel Core i7 7700HQ 2.8GHz,2122.0
Intel Core i5 7200U 2.5GHz,813.0
Intel Core i5 7300HQ 2.5GHz,1027.74
Intel Core i5 7200U 2.5GHz,990.0
Intel Core i7 8550U 1.8GHz,884.0
Intel Core M 6Y75 1.2GHz,1399.0
Intel Core i7 7500U 2.7GHz,659.01
Intel Celeron Dual Core N3060 1.6GHz,209.0
Intel Core i7 7700HQ 2.8GHz,2599.0
Intel Core i7 7500U 2.7GHz,778.87
Intel Core i7 7700HQ 2.8GHz,1407.0
Intel Core i7 7700HQ 2.8GHz,1591.0
Intel Core i5 8250U 1.6GHz,805.0
Intel Core i3 6006U 2GHz,545.67
Intel Core i5 8250U 1.6GHz,685.0
Intel Core i5 7200U 2.5GHz,977.0
Intel Core i5 7200U 2.5GHz,609.0
Intel Core i5 8250U 1.6GHz,1085.0
Intel Core i7 8550U 1.8GHz,1219.24
Intel Core i7 6700HQ 2.6GHz,2289.99
Intel Celeron Dual Core N3060 1.6GHz,349.0
Intel Core i7 6500U 2.5GHz,1499.0
Intel Core i5 8250U 1.6GHz,1599.0
Intel Core i5 8250U 1.6GHz,899.0
Intel Core i3 6006U 2GHz,689.0
Intel Core i5 8250U 1.6GHz,722.0
Intel Core i3 6006U 2GHz,639.9
Intel Core i7 7700HQ 2.8GHz,1799.0
AMD A6-Series 9220 2.5GHz,519.0
Intel Core i7 7500U 2.7GHz,895.01
Intel Core i5 7200U 2.5GHz,1539.0
Intel Core i7 7500U 2.7GHz,839.0
Intel Core i5 8250U 1.6GHz,923.0
Intel Core i5 7200U 2.5GHz,549.0
Intel Core i7 7500U 2.7GHz,805.99
Intel Core i7 7700HQ 2.8GHz,1600.0
Intel Core i5 7200U 2.5GHz,1265.0
Intel Core i7 8550U 1.8GHz,2299.0
Intel Core i5 7200U 2.5GHz,881.0
Intel Core i7 7500U 2.7GHz,742.0
Intel Core i7 7700HQ 2.8GHz,1799.0
Intel Core i7 7500U 2.7GHz,2089.0
Intel Core i7 7500U 2.7GHz,2226.0
Intel Core i5 7200U 2.5GHz,699.0
Intel Core i5 6200U 2.3GHz,523.63
Intel Core i7 8550U 1.8GHz,870.0
Intel Core i7 7700HQ 2.8GHz,1738.27
Intel Core M 1.2GHz,1279.0
Intel Core i5 7200U 2.5GHz,739.0
Intel Core i7 8550U 1.8GHz,2499.0
Intel Core i7 6820HQ 2.7GHz,2135.0
Intel Core i5 1.6GHz,1099.0
Intel Celeron Dual Core N3350 1.1GHz,615.0
Intel Core M 7Y30 1.0GHz,603.0
AMD A12-Series 9720P 2.7GHz,529.0
Intel Core i5 7200U 2.5GHz,1340.0
Intel Core i7 7500U 2.7GHz,1224.0
Intel Core i7 7700HQ 2.8GHz,2094.48
Intel Core i5 6200U 2.3GHz,1195.0
Intel Core i5 7200U 2.5GHz,899.0
Intel Core i5 8250U 1.6GHz,776.0
AMD Ryzen 1700 3GHz,1299.0
Intel Core i3 7100U 2.4GHz,384.0
Intel Core i3 6006U 2GHz,739.0
Intel Core i5 8250U 1.6GHz,1599.0
Intel Core i5 7300HQ 2.5GHz,1299.0
Intel Core i3 6006U 2GHz,498.9
Intel Core i7 7500U 2.7GHz,1299.0
Intel Core i7 7500U 2.7GHz,1200.0
AMD A6-Series 9220 2.5GHz,398.0
Intel Core i7 7700HQ 2.8GHz,2999.0
Intel Core i7 7500U 2.7GHz,639.0
Intel Core i3 6006U 2GHz,665.0
AMD A6-Series 9220 2.5GHz,399.0
AMD A6-Series A6-9220 2.5GHz,478.89
Intel Core i5 8250U 1.6GHz,959.0
Intel Core i5 7200U 2.5GHz,621.45
Intel Core i3 6006U 2GHz,344.99
Intel Celeron Dual Core N3060 1.6GHz,249.0
AMD A10-Series 9620P 2.5GHz,579.0
Intel Core i7 7500U 2.7GHz,749.01
Intel Core i7 7700HQ 2.8GHz,2419.0
Intel Core i3 7100U 2.4GHz,459.0
Intel Core i7 8550U 1.8GHz,1271.0
Intel Core i7 8550U 1.8GHz,1045.0
Intel Core i3 6006U 2GHz,598.0
Intel Pentium Quad Core N3710 1.6GHz,485.0
Intel Core i7 7700HQ 2.8GHz,1109.0
Intel Core i7 6500U 2.5GHz,1877.0
Intel Core i3 6006U 2.0GHz,443.9
Intel Core i7 7700HQ 2.8GHz,1699.0
Intel Core i3 7100U 2.4GHz,769.99
Intel Core i7 2.8GHz,2439.97
AMD A10-Series A10-9620P 2.5GHz,568.9
AMD Ryzen 1600 3.2GHz,1695.0
Intel Core i5 7200U 2.5GHz,1399.0
Intel Pentium Quad Core N4200 1.1GHz,449.0
Intel Core i5 8250U 1.6GHz,647.0
Intel Core i7 6700HQ 2.6GHz,2299.0
Intel Core i7 7700HQ 2.8GHz,2249.0
Intel Core i3 6006U 2GHz,529.0
Intel Core i5 7200U 2.5GHz,959.0
Intel Core i7 7820HQ 2.9GHz,2449.0
Intel Core i5 7300HQ 2.5GHz,779.0
Intel Core i7 7500U 2.7GHz,1399.0
Intel Core i7 7700HQ 2.8GHz,846.0
Intel Core i3 6006U 2GHz,410.8
Intel Core i3 6100U 2.3GHz,1166.97
Intel Core i5 7200U 2.5GHz,1358.0
Intel Xeon E3-1535M v5 2.9GHz,4389.0
Intel Core i5 7200U 2.5GHz,488.69
Intel Core i7 8550U 1.8GHz,1049.0
Intel Core i5 6200U 2.3GHz,1099.99
Intel Core i5 7300U 2.6GHz,1179.0
Intel Core i5 8250U 1.6GHz,896.0
Intel Core i5 2.3GHz,1518.55
Intel Core i3 6006U 2.0GHz,565.0
Intel Celeron Dual Core N3060 1.6GHz,330.0
Intel Core i5 7200U 2.5GHz,830.0
Intel Core i5 7200U 2.5GHz,589.0
Intel Core i5 6200U 2.3GHz,1590.0
Intel Core i5 6200U 2.3GHz,1413.1
Intel Core i5 7300HQ 2.5GHz,1649.0
Intel Core M 6Y30 0.9GHz,729.0
Intel Core i7 8550U 1.8GHz,1099.0
Intel Core i5 7200U 2.5GHz,699.0
Intel Core i3 7100U 2.4GHz,619.0
Intel Core i3 7100U 2.4GHz,499.0
Intel Core i5 6200U 2.3GHz,689.0
Intel Core i5 8250U 1.6GHz,949.0
Intel Core i7 8550U 1.8GHz,988.0
Intel Core i5 7200U 2.5GHz,799.0
Intel Core i7 7700HQ 2.8GHz,3149.0
Intel Core i7 6600U 2.6GHz,1962.98
Intel Core i5 7200U 2.5GHz,1064.0
Intel Core i7 6600U 2.6GHz,2099.0
Intel Core i5 7200U 2.5GHz,1672.0
Intel Core i3 7100U 2.4GHz,597.0
Intel Core i7 7500U 2.7GHz,2282.0
Intel Core i7 7660U 2.5GHz,1799.0
Intel Core i7 7700HQ 2.8GHz,2599.0
Intel Core i5 7200U 2.5GHz,598.9
Intel Celeron Dual Core N3060 1.6GHz,297.0
AMD A12-Series 9720P 3.6GHz,899.0
Intel Core i7 7500U 2.7GHz,685.0
Intel Core i5 7200U 2.5GHz,739.0
Intel Core i7 7700HQ 2.8GHz,1499.0
Intel Core i7 7500U 2.7GHz,1799.0
Intel Celeron Dual Core N3350 1.1GHz,298.0
Intel Core i7 7500U 2.7GHz,2025.0
Intel Core i7 8550U 1.8GHz,1999.0
Intel Core i7 7500U 2.7GHz,2824.0
Intel Core i7 8550U 1.8GHz,1049.0
AMD A8-Series 7410 2.2GHz,387.0
Intel Pentium Dual Core 4405U 2.1GHz,499.0
Intel Core i7 6500U 2.5GHz,1403.0
Intel Core i5 7200U 2.5GHz,859.0
Intel Core i7 8550U 1.8GHz,1495.0
Intel Core i5 7200U 2.5GHz,649.0
Intel Core i7 7500U 2.7GHz,2049.0
AMD A9-Series 9420 3GHz,499.0
Intel Core i3 6006U 2.2GHz,447.0
Intel Core i3 6006U 2GHz,849.0
Intel Core i5 7200U 2.5GHz,713.99
Intel Core i5 7200U 2.5GHz,825.0
Intel Core i7 7700HQ 2.8GHz,1168.0
Intel Core i5 7200U 2.5GHz,522.99
Intel Core i5 7200U 2.5GHz,960.0
Intel Core i3 6006U 2GHz,499.0
Intel Core i5 7200U 2.5GHz,799.0
Intel Core i3 6006U 2GHz,585.0
Intel Core i7 7500U 2.7GHz,831.0
Intel Core i7 7500U 2.7GHz,1094.0
Intel Core i5 7200U 2.5GHz,1080.0
Intel Core i5 8250U 1.6GHz,659.0
Intel Core i3 6006U 2GHz,469.0
Intel Core i7 7500U 2.7GHz,1070.0
Intel Core i7 7820HQ 2.9GHz,1534.0
Intel Core i7 7700HQ 2.8GHz,1249.0
Intel Atom Z8350 1.92GHz,265.0
Intel Core i5 7200U 2.5GHz,1535.0
Intel Core i7 7600U 2.8GHz,1369.0
Intel Core i5 8250U 1.6GHz,675.0
Intel Celeron Dual Core N3350 1.1GHz,399.0
AMD A6-Series 9220 2.5GHz,398.49
Intel Core i7 7500U 2.7GHz,1097.0
Intel Core i7 7700HQ 2.8GHz,1486.77
Intel Core i7 6500U 2.5GHz,720.32
Intel Core i5 6200U 2.3GHz,1460.0
Intel Celeron Dual Core N3060 1.6GHz,269.0
Intel Core i7 7500U 2.7GHz,739.0
Intel Core i7 7500U 2.7GHz,1950.0
Intel Core i3 6006U 2GHz,699.0
Intel Core i3 6006U 2.0GHz,359.0
Intel Core i7 7700HQ 2.8GHz,3588.8
Intel Core i7 6700HQ 2.6GHz,2229.0
Intel Core i7 7500U 2.7GHz,659.0
Intel Core i5 7200U 2.5GHz,1390.0
Intel Core i7 7500U 2.7GHz,1790.0
Intel Core i3 6006U 2GHz,489.0
Intel Core i7 7600U 2.8GHz,1859.0
Intel Core i5 7200U 2.5GHz,793.0
Intel Core i7 7Y75 1.3GHz,1649.0
Intel Core i5 7200U 2.5GHz,559.0
Intel Celeron Dual Core N3060 1.6GHz,274.9
Intel Core i7 7700HQ 2.8GHz,1999.0
Intel Core i7 7500U 2.7GHz,1748.9
Intel Core i5 7200U 2.50GHz,846.5
Intel Core i3 6006U 2GHz,368.0
Intel Core i5 6200U 2.3GHz,755.0
Intel Core i3 7130U 2.7GHz,702.0
Intel Core i5 6200U 2.3GHz,780.0
Intel Celeron Dual Core N3350 1.1GHz,304.45
Intel Core i7 6500U 2.5GHz,679.0
Intel Celeron Dual Core N3350 1.1GHz,375.0
Intel Core i7 6700HQ 2.6GHz,1561.0
Intel Core i5 7200U 2.5GHz,742.0
Intel Core i5 7300U 2.6GHz,1427.0
Intel Core i7 7700HQ 2.8GHz,1299.0
Intel Core i5 8250U 1.6GHz,682.0
Intel Celeron Dual Core N3050 1.6GHz,269.0
Intel Core i5 8250U 1.6GHz,979.0
Intel Core i7 7500U 2.7GHz,745.0
Intel Core i5 7200U 2.5GHz,618.99
Intel Core i7 7700HQ 2.8GHz,1199.0
Intel Celeron Dual Core N3060 1.6GHz,435.0
Intel Core i7 6700HQ 2.6GHz,1339.0
Intel Core i7 7700HQ 2.8GHz,2049.9
Intel Core i5 7200U 2.5GHz,1799.0
Intel Core i5 6300U 2.4GHz,1713.37
Intel Core i7 8550U 1.8GHz,1396.0
Intel Core i5 7200U 2.5GHz,1189.0
Intel Core i7 7500U 2.7GHz,859.0
Intel Core i5 8250U 1.6GHz,999.0
Intel Core i7 7500U 2.7GHz,1090.0
Intel Core i3 7130U 2.7GHz,572.0
AMD A6-Series 7310 2GHz,298.0
Intel Core i7 6700HQ 2.6GHz,1269.0
Intel Pentium Dual Core N4200 1.1GHz,581.9
Intel Core i5 6200U 2.3GHz,932.0
Intel Core i7 8550U 1.8GHz,1299.0
AMD A9-Series 9420 3GHz,395.0
Intel Core i5 8250U 1.6GHz,1199.0
AMD A9-Series 9420 3GHz,426.0
Intel Core i5 8250U 1.6GHz,1449.9
Intel Core i7 7700HQ 2.8GHz,899.0
Intel Core i5 7300HQ 2.5GHz,1199.0
Intel Core i5 8250U 1.6GHz,800.0
Intel Core i5 6300U 2.4GHz,1629.0
Intel Core i5 7200U 2.5GHz,519.0
AMD E-Series E2-9000e 1.5GHz,258.0
Intel Core i7 7700HQ 2.8GHz,2456.34
